comment,compound,positive,negative,neutral,label
bagaimana coach bagaimana eric tohir bagaimana pssi bagaimana smuanya masih mau pada jadikan setiap laga jadi ajang uji coba melulu nanti kalau sudah kayak brasil maennya baru begitu lha ini baru juga anak indonesia nongol di berbagai ajang laga besar eh sudah dibantai sendiri sama para bandot itu kasihan mreka bos kasihan anak indonesia pemain kita pada sungguh bela negara kalau kamu pade yang harusnya jadi panutan mreka bahkan masih mental hancur begitu,0.0,0.365,0.371,0.264,neutral
sisafri hanya bisa Maska air biar matangbeda dng bolaaaa,-0.6124,0.143,0.429,0.429,negative
Bertebaran pemain bule hanya dua kali main pulang,-0.9001,0.227,0.636,0.136,negative
Tarjet perak bang erik masih terlalu tinggi wkwkwkw,-0.4588,0.333,0.444,0.222,negative
menang telak tapi kalah tidak ada hubunganya megang saham inter bisa jadi ketua federasi yang baik tertawa,0.6124,0.481,0.389,0.13,positive
Sekelas raven dicadangkan sikumis lele Hmmmm,0.0,0.0,0.0,1.0,neutral
pemain lini tengah malas mundur,-0.25,0.444,0.5,0.056,negative
kualat sty,-0.7184,0.0,0.833,0.167,negative
Tariam,0.0,0.0,0.0,1.0,neutral
Terus terang saya sengaja tidak nonton tadi malam sudah malas lihat timnas cmn sekelas tarkam,-0.875,0.289,0.526,0.184,negative
alasannya apa smpe raven di cadangkan dari 2 laga pelatihnya tidur kali iya,-0.6124,0.19,0.381,0.429,negative
Yah padahal dari tahun kemarin sudah ingin sombong karena kita masuk pildun Sekarang Sea Games saja kita jadi bot Erik Erikk,-0.9719,0.133,0.6,0.267,negative
kasian iya tim nas,-0.875,0.0,0.818,0.182,negative
Aselii sedang apa nunjuk indra Sjafri jelasjelas dia pelatih amatiran,-0.6124,0.211,0.421,0.368,negative
Saya yakin pemainnya bagus cuma strateginya tidak ada,-0.4588,0.429,0.5,0.071,negative
Untung targetnya perak,0.7184,0.857,0.0,0.143,positive
Preeeeeeet,0.0,0.0,0.0,1.0,neutral
Sapri joss,0.0,0.0,0.0,1.0,neutral
Ko hambar iya tahun ini Se game tidak begitu viral,-0.8402,0.15,0.5,0.35,negative
Nanti kali 2035baru juara asia kekekeekekek,-0.4588,0.0,0.375,0.625,negative
kembali ke setelan pabrik,0.0,0.0,0.0,1.0,neutral
Bisa kita lihat mengapa STY ngotot memakai orngorang pilihannya karena dia pasti tahu orang yang di pilih itu orang yang paham taktiknya walaupun pemain itu biasa saja,-0.9818,0.225,0.592,0.183,negative
tidak lolos iya,-0.9186,0.0,0.917,0.083,negative
sebelum sea games dimulai ada netijen yang komen kalau timnas itu palingan hy bisa juara 3 di seagames ini banyak netijen lain yang nyolot sama komennya trmasuk saya karena bagi kbanyakan netijen yah kitalah juaranya sejelek2nya runner up memang sih netijen yang mmprediksi juara 3 itu salah ternyata netijen itu justru sedikit mrendah lolos grup pun tidak sebelum laga terakhir netijen indonesia untung vietnam tidak main mata setelah laga terakhir netijen malaysia untung myanmar tidak main mata,-0.9958,0.225,0.52,0.254,negative
SELAMAT JALAN PSSI SEMOGA TENANG DISANA,0.9325,0.75,0.0,0.25,positive
Apakah SIT0wel senang melihat hasil ini,0.9432,0.824,0.0,0.176,positive
Hoki caraka masih dpake,0.6124,0.571,0.0,0.429,positive
kulitas pelatih yang hk tahu pemain mana saja yang fi pasang,-0.7906,0.368,0.526,0.105,negative
Towel kok diamdiam bae iya,0.0,0.0,0.0,1.0,neutral
sudah terbiasa lihat timnas gacor lihat maennya skrng ampun jauh banget dari espektasi lebih menarik nonton liga satu sama persib,0.9776,0.673,0.173,0.154,positive
NAH BEGINI BARU KESUKAAN PARA PENGURUS PSSI KANN HEHEHE,0.6808,0.455,0.221,0.325,positive
Pancen aneh si saprimengapa raven tidak dimainkan,-0.25,0.312,0.375,0.312,negative
Tetap lihat sepak bola eropa,0.6124,0.571,0.286,0.143,positive
Target tercapai yang penting dapur sapri tukimin ngebul sumardji hokky bisa jalan2 ke Thailand Bagi mereka persetan sepakbola Indonesia,0.6124,0.344,0.188,0.469,positive
Jersey nya kerenan ini sih 305,0.0,0.0,0.0,1.0,neutral
Heran kok PSSI masih percaya sama indra sjafri,0.9186,0.706,0.0,0.294,positive
Indonesia tanpa campur tangan sty hanya serasa main tarkammm,0.7906,0.55,0.2,0.25,positive
Koyo tarkam,0.0,0.0,0.0,1.0,neutral
Mauro zilstra saja masih kalah bagus dari jens bahkan starting terus kocak banget,-0.9186,0.179,0.571,0.25,negative
Knapa rekan 5dkmainkan dari babak pertama,-0.6124,0.294,0.529,0.176,negative
GAYA PERMAINAN MASIH JAUH DARI HARAPAN,-0.875,0.0,0.692,0.308,negative
Lawan myanmar sudah seperti lawan arab saudi Berat banget kyaknya sepak bola indonesia di semua umur semenjak ET buat blunder semuanya jadi merambat kayak listrik arus pararel,-0.25,0.365,0.346,0.288,negative
Olah raga sebol yang di anak emas kan kalah sama olah raga lain yang sudah dapat banyak medali mas,-0.8402,0.364,0.473,0.164,negative
Sang juara bertahanyg target nya perak,0.25,0.286,0.0,0.714,positive
Pensiun jadi pelatih untuk timnas,0.25,0.5,0.333,0.167,positive
gol myanmar lahir dari kebegoan kadek arel offside trap kok ngantung 1,0.4019,0.376,0.296,0.329,positive
Lho timnas main iya,0.4588,0.5,0.0,0.5,positive
Sudah banyak pelatih timnas indonesia tidak berpengaruh juga permasalahan ada di SDM pemain pemain depan hanya menunggu minim pergerakan pemain tengah sering kalah 1 lawan 1 pemain belang menghadang bola dari jarak 3m dengan lawan sering oper bola ke belang mati ide selain fisik dan teknik pemain timnas juga harus dilakukan tes IQ,-0.9849,0.324,0.504,0.173,negative
Bung towel kemana,0.0,0.0,0.0,1.0,neutral
Semenjak sintayoung di pecat Udah malas lihat timnas,-0.8402,0.2,0.55,0.25,negative
Flashback jaman Evan dimas u19 ges menurut kalian apakah strategi pelatih atau memang para pemain yang jago tiki Taka,0.8402,0.467,0.289,0.244,positive
Pelatih Sapri taktik tarkam,0.6124,0.571,0.0,0.429,positive
Nonton timnas flat BNR rasa ny Kek tidak ada greget2 ny skrng,-0.6124,0.217,0.391,0.391,negative
Beda banget kualitasnya wktu piala asia kemarin ivar jener tidak ada tandem minimnya pmain sayap Lini blkng lemahh Kmrn bisa klhn yordania australia koreaa dengan prmainan bgini sulit untuk brsaing di piala asia u23 nanti,-0.7184,0.211,0.298,0.491,negative
Ruu1,0.0,0.0,0.0,1.0,neutral
Alhamdulillah prediksi Indonesia kalahakhir nya ke nyataan,0.9001,0.667,0.0,0.333,positive
Safri safri ini tidak cocok diajang international,-0.25,0.312,0.375,0.312,negative
Bisa bisa pemain diaspora kita malas tidak mau lagi bela timnas Bukan masalah nasionalisme tapi lebih pada carut marutnya pengurus PSSI,-0.9834,0.2,0.633,0.167,negative
INI BARU ASEANYANG DIHADAPI BARU FHILIPINAMYANMARTIMNAS EMPOT EMPOTANBELUM MALAYSIAVIETNAMTHAILANDartinya kelas kita cuma segitusekelas LaosSingapuraTimor Lestemyanmarmayoritas pemain ini gagal semua ditiap turnamenkualifikasi piala asiaAFF dan sekarang sea games,-0.9719,0.0,0.488,0.512,negative
Jir bneran jadi tidak trtarik buat nonton timnas saat ini Dari vs Filipina kemarin smpai Myanmar jdwl tanding saja tidak tahu saya Tiba2 saja sudah nongol skor nya wkwkw,-0.9682,0.265,0.515,0.221,negative
Semenjak era STY berakhir nonton bola Timnas kaya lihat liga tarkam liga 3,0.7906,0.412,0.0,0.588,positive
taktik 2 sujud 98,0.0,0.0,0.0,1.0,neutral
Dampak mafiaaajdi pecundang,-0.6124,0.0,0.667,0.333,negative
Kadek Arel bek gemoy begitu sedang apa sih dipake,-0.6124,0.0,0.333,0.667,negative
Bingung lihat permainannya,0.6124,0.667,0.0,0.333,positive
Alhamdulillahmalaysia ke final Indonesia underdog dan penakut,0.6124,0.4,0.0,0.6,positive
Bahaya ini timnas kalau ET masih jadi ketum PSSI Sty harus in Semua hancur setelah sty out,-0.9584,0.062,0.562,0.375,negative
Punya pelatih berkualitas Ganti Pk kumis Hadehhhh,0.9584,0.85,0.0,0.15,positive
Dari pada lihat Indonesia main lebih enak lihat timur leste,0.9001,0.633,0.267,0.1,positive
Menangis,-0.7906,0.0,1.0,0.0,negative
Salah pelatih mencadangkan jeans naldo,-0.25,0.333,0.417,0.25,negative
Pak kumis terbukti sebagai pelatih hebat Hebat tidak dipecat Jelas2 dari awal tidak meyakinkan Beda cerita dengan sty Mungkin si bapak ini pegang rahasia besar,-0.25,0.409,0.424,0.167,negative
Raven di cadangkan,0.0,0.0,0.0,1.0,neutral
Para petinggi pssi senang lihat hoky main di banding raven,0.9682,0.8,0.0,0.2,positive
Pelatih begini masih di pertahanin kocak,0.25,0.462,0.385,0.154,positive
Makin parah,-0.6124,0.333,0.667,0.0,negative
Semifinalis piala Asia jadi ayam sayur,0.25,0.286,0.0,0.714,positive
rupanya level timnas kita cuma sampai level grup asean,-0.7906,0.167,0.5,0.333,negative
tim yang tidak pernah lihat timnas Seagames sekarang cung baru lihat sekarang dari highlightnya saja tidak enak di tonton pelatih itu berpengaruh iya gaes,-0.9638,0.306,0.542,0.153,negative
Hadaahhh PSSI sudah tahu pelatih gagal dipake saja,0.6124,0.52,0.36,0.12,positive
Kontrol bola kaya ngontrol bola pingpong,0.4588,0.375,0.0,0.625,positive
hmmm,0.0,0.0,0.0,1.0,neutral
Mending pelatihnya agen agung saja sekalian dripada taktik nya itu itu melulu,-0.9432,0.111,0.667,0.222,negative
Salah pelatih lebih salah lagi yang pilih indra safry Dan kenapa pak indra masih mau jadi pelatih sih pak,-0.7906,0.36,0.46,0.18,negative
JANGANKAN MEDALI PERAKMEDALI BESI AJA NGGAK NEMU INIWALAU SUDAH DIBANTU OLEH VIETNAMKITA JUGA BELUM BISA MEMANFAATKANNYAINI GAMBARAN KECIL DARI BIBIT TIMNAS SENIOR AKAN DATANGSURAMSEHARUSNYA PSSI MALU DAN HARUS BERTANGGUNGJAWAB ATAS SEMUA RENTETAN KEGAGALAN DENGAN MUNDUR DARI TAMPUK JABATAN MEREKAKARENA INI SEMUA ATAS KESALAHAN FEDERASI DALAM MENGAMBIL KEPUTUSANCAPE JADI FANS TIMNAS DIKASIH HARAPAN TANPA UJUNGYANG RELA BERKORBAN BIAYA DAN TENAGA DIMANAPUN TIMNAS BERTANDINGTAPI PSSI SENDIRI YANG MENGHANCURKAN MIMPI SEPAKBOLA INDONESIA YANG SUDAH DIBANGUN LAMA,-0.9923,0.292,0.489,0.219,negative
terus mau apa lagi timnas ini,-0.25,0.353,0.471,0.176,negative
Dulu di tangan sty permainan enak skema bagus La sekarang balik lagi ke setelan pabrik Permianan semarawut,0.4588,0.355,0.258,0.387,positive
Pelatih itu terus apa ngak ada lagi pelatih yang lebih bagus,0.0,0.486,0.459,0.054,neutral
Ampas pelatih tarkam,0.0,0.444,0.444,0.111,neutral
Ivar seperti nya tidak dapat tandem yang pas di lapangan tengah Di sepak bola itu terkadang ada nama nya pemain cocokan Pemain bagus jika tidak cocok sama tmen sekitar nya seperti tidak kelihatan Jgn bandingin sama pemain bintang yang bisa main bagus dmna saja Itu beda level,-0.9682,0.352,0.492,0.156,negative
Enak jaman sty kan,0.6124,0.545,0.273,0.182,positive
Level Timnas sangat jauh turun drastis,0.7184,0.611,0.278,0.111,positive
Mempertahankan medali emas Sea Games saja tidak mampu apalagi bertahan di 4 besar semifinalis Piala Asia U23,0.8402,0.474,0.263,0.263,positive
Komentatornya menyamakan pemain kayak dukun katanya bisa membaca kiper Myanmar akan membuat kesalahanwkwkwkwkwkwkwkw,-0.9001,0.226,0.581,0.194,negative
Kesombongam pssi tidak sadar emas kamboja dari didikan siapa,-0.7906,0.25,0.5,0.25,negative
sudah tradisi pemain tengah tidak terlihatlari lari tidak karuanumapn salah melulu,-0.975,0.184,0.737,0.079,negative
sapri sududnya tidak mengarah ke kiblatngwur tu orang,-0.9186,0.0,0.647,0.353,negative
Gak tahu mau ngomng apa lagi tu pelatih bolak balik dipecat tapi dipake terus macam tidak ada pelatih lain di negara ini,0.25,0.407,0.39,0.203,positive
saya bingung kenapa indta sjafri masih saja jadi oelatih timnas ydah tahu pelatih anyep masih aje di paki,0.4588,0.344,0.25,0.406,positive
Lihat Thailand Singapur Malaysia Vietnam kasih stadion dan rumput bagus tapi kenapah indonesia main ko di stadion kabupaten why apa memang sudah GK ada taring pak Erik sehingga diinjaknya sama Thai,0.9776,0.538,0.169,0.292,positive
Karma itu nyata,0.4588,0.556,0.333,0.111,positive
Sekelas seagames,0.0,0.0,0.0,1.0,neutral
lemparan jauh apa sih ngandelin gtuan,-0.875,0.0,0.692,0.308,negative
Kasihan sama pemain diaspora Di kasih pemain lokal dan pelatih lawak Sedih sedih,-0.7184,0.39,0.488,0.122,negative
Pertahankan sapri kiamat,-0.4588,0.286,0.571,0.143,negative
Giliran laga hidup mati main mati2an giliran lawan filipina main boro2 ngotot kaya begini padahal laga awal itu paling krusiall,0.9638,0.625,0.208,0.167,positive
Target ketinggian Filipina,-0.4588,0.0,0.6,0.4,negative
PSSI bagaimana ini,0.0,0.0,0.0,1.0,neutral
ke stelan pabrik lagi,-0.6124,0.0,0.571,0.429,negative
Towel matamu wel towel ndi GK wani komen wel kegelapan yang hakiki,-0.9186,0.0,0.524,0.476,negative
PSSI SUKSES BESAR DENGAN PROYEK NYA,0.875,0.692,0.0,0.308,positive
Penyesalan indra Syafri karena raven dicadangkan padahal raven lebih tinggi chemistry dari Mauro,-0.4588,0.261,0.348,0.391,negative
Kalah menang itu biasa Yg jadi masalah timnas bermain semakin buruk Timnas tidak mampu mengatasi tekanan meskipun berasal dari tim lemah Organisasi permainan buruk Pola permainan tidak ada Skema serangan dalam mencetak gol juga tidak pernah ada Timnas semakin mengalami kemunduran Semakin jauh mensejajarkan diri dengan tim Asia lain yang menjadi gerbang tiket ke Piala Dunia seperti Jepang Korea Arab Australia,-0.9948,0.321,0.556,0.123,negative
Hoki itu tidak buat hoki jangan di pakai sudah,0.0,0.483,0.448,0.069,neutral
Timnas paling memalukan gagal di fase grup dan kalah lawan Filipina untuk pertama kalinya,-0.9432,0.074,0.556,0.37,negative
Timnas riset pabrikmulai dari 0 seperti pom bensindi ajak level asia tidak mau maunya level aseanitulah anjuran dari mister towel,-0.9186,0.2,0.525,0.275,negative
pemain tidak sesuai intruksi dan masih disimpan strategi tunggu lengser IS,-0.7184,0.261,0.435,0.304,negative
2024 kelas nya sudah asiasekarang Asean saja keok,-0.7906,0.211,0.579,0.211,negative
Ivar jenner main konyol cuma pandai main bola geser kebelakang Pantas cadangan senior pantas juga main cadangan di klub kualitasnya bgtu,0.9001,0.553,0.255,0.191,positive
ampas banget ini oi kalah efektivitas gol sama malaysia match ini kalau tidak kebobolan lolos menang GD tapi kali ini coach el penyelamat tidak bisa berbuat banyak,-0.9432,0.288,0.485,0.227,negative
Baju merah negara mana iya Kalau indonesia saya rasa tidak seperti itu mainnya Jauh sekali cara mainnya pada saat berlaga di piala asia kemarin Koree selatan saja tunduk Kalau yang ini kyak utusan dari tarkam,-0.9923,0.125,0.65,0.225,negative
King indra xaviiiii fernandes,0.0,0.0,0.0,1.0,neutral
Ever since they Failed to qualified for the world cupEvery thing went Down Hill for the Indonesian team Feel maaf for them,-0.5106,0.165,0.241,0.594,negative
Penayangan liga indonesia ambil alih RCTI oke,-0.6124,0.214,0.429,0.357,negative
MAKIN HARI MAKIN PARAH TIMNAS KITA MENPORA HARUS PECAT KETUM PSSI DAN EXCO KARENA GA BECUS,-0.9584,0.205,0.564,0.231,negative
We miss STY,-0.7184,0.0,0.714,0.286,negative
Tengahnya masih koyo jenner terlalu lama bawa bola,-0.8402,0.125,0.562,0.312,negative
Lokal prettt bisa apa,-0.6124,0.0,0.571,0.429,negative
Sudah tidak kcewa lagi kalau indonesia tidak lolos karena dari match prtamaprmainan sdah tidak meyakinkan,-0.9861,0.16,0.74,0.1,negative
Gambarnya kok jelek amat iya,-0.25,0.357,0.429,0.214,negative
Timnas is back,0.0,0.0,0.0,1.0,neutral
Sejak di tinggal sty Timnas jadi bahan tertawaan tim lain apalagi tim yunior dilatih indra Safri Malah parah sama pilipina saja kalah Seumur 2 timnas tidak pernah kalah dengan pilipina baru kali kalah,-0.9951,0.099,0.679,0.222,negative
Indra Safri itu gajinya murah local merakyat jadi logika saja semua orang di PSSI tu otaknya pengusaha jadi wajar ada yang murah biarpun rusak ambil dan pertahankan soalnya kalau mahal nanti anggaran PSSI habis,-0.7184,0.393,0.44,0.167,negative
tidak perlu ditonton timnas era kegelapan ini teman-teman,-0.6124,0.2,0.4,0.4,negative
Kadek arol jangan di pakecoach tidak resep saya pemain kaya gitubikin sial Kadek arol,-0.9638,0.184,0.632,0.184,negative
wow ini siaran timnas jaman dulu iya Timnas jaman dulu memang parah umpan2nya salah terus beda jauh dengan Timnas sekarang yang sudah bagus umpan2nya skema serangan juga sudah lumayan,-0.9648,0.291,0.521,0.187,negative
Kirain bakal ada kejutan sampai di seriusin liga libur FiFA matchday tidak ada uang mentingin seagames untuk pertama kalinya tidak bisa lolos grup Memalukan erik tertawa,0.0,0.397,0.382,0.221,neutral
Kasih saja coach Nova lebih keren,0.0,0.417,0.333,0.25,neutral
SAMPAI KAPANPUN TIMNAS INI TETAP MENGECEWAKAN SUKSESLAH ATAS PRESTASINYA MEMPERTAHANKAN MANAJEMEN KOLUSI DAN PRINSIP SEGOLONGAN MENYEDIHKAN,-0.8402,0.219,0.438,0.344,negative
Sepakbola sudah bagus pelatih diganti,0.9001,0.846,0.0,0.154,positive
Ketika timnas burukmedsos adem iya aneh memang,0.9001,0.667,0.0,0.333,positive
sjk ptrick datang laga indonesia sudah sngt tidak menarik,-0.4588,0.36,0.44,0.2,negative
2023 medali emas 2025 ampas,0.25,0.417,0.333,0.25,positive
towel mana nihh kok tidak teriak teriak lagi,-0.9682,0.0,0.87,0.13,negative
BagusUpin Ipinjoooossss,0.0,0.0,0.0,1.0,neutral
heraan dengan PSSI peltih yang berkali2 gagal masih tetap di pakai saja yang bisa bawa timnas naik ranking mlh di buang,-0.9682,0.174,0.543,0.283,negative
Indo mode era kegelapan,-0.6124,0.0,0.571,0.429,negative
kenapa harus kalah lawan philipina jadi target lolos lawan myanmar semakin membebani timnas,-0.9001,0.29,0.516,0.194,negative
KLO GK undur diri brarti memang sapri GK tahu maluuu squad mewah saja masih ampas,0.25,0.333,0.333,0.333,positive
Mau nya pssi,0.7906,0.75,0.0,0.25,positive
Gabisa main bola Cuma dari umpan lemparan kedalam pakai tangan anjeng anjengg,-0.9432,0.172,0.621,0.207,negative
Cuan cuan cuan,0.0,0.0,0.0,1.0,neutral
Lokal mana bisa di andalkan towel bangga pastinya dengan hasil ini,0.8402,0.471,0.0,0.529,positive
Era kegelapan kena azab Dzolim sama sty yang sudah berjuang dengan tulus,-0.6124,0.371,0.457,0.171,negative
Inget tidak dulu towel dan kawan-kawan nyinyir ke sty pas kita gagal playoff olimpiade Sekarang sea games saja tidak lolos Inikah yang dicari,-0.9899,0.071,0.661,0.268,negative
Sudah tahu pelatih gagal masih saja dipake indra Japri,0.6124,0.5,0.346,0.154,positive
pakai kalah sama filipin sih tidak lolos kan,-0.9325,0.167,0.667,0.167,negative
Nggak perlu di tnton percumagak bakalan lolos,-0.25,0.357,0.357,0.286,negative
terus apa yang mau di banggakan kalau sepak bolanya seperti ini terushilangnya STY sepak bola indinesia melorot drastis,-0.8402,0.295,0.5,0.205,negative
Kembali pola lama,-0.25,0.4,0.5,0.1,negative
Dari 3 pelatih yang megang Tim iniyg busuk di babak penyisihan STY Dan Indra Safriyg bisa masuk semifinal cuma Vanenburg,-0.9872,0.082,0.694,0.224,negative
main aggk berkembangpantas tidak lolos mendingan nonton liga tarkam,-0.9325,0.13,0.652,0.217,negative
Mau ke piala duniajd runner up terbaik saja tidak mampu Mimpi terus Indonesia emashahaha,0.8402,0.5,0.278,0.222,positive
bagusan tarkam mainya maaf,0.7184,0.75,0.0,0.25,positive
Kemunduran yang amat menyakitkansemua karena keegoisan seorang pemimpin pssi,-0.9186,0.192,0.615,0.192,negative
Kemruyuk koyo danonecup,0.0,0.0,0.0,1.0,neutral
WAJIB MASUKIN HOKKY CARAKA DULU,-0.4588,0.0,0.429,0.571,negative
Tidak jelas pola permainan Team makanya Gagal lanjut,-0.4588,0.458,0.458,0.083,negative
Piala dunia buyaraff GK lolos sea games gagal juga terus mau apa lagi yang ditonton coba lebih baik lihat japan ajl lah bisa jadi refensi untuk anak cara main bola yang baik dan benar,-0.7184,0.393,0.405,0.202,negative
Tamat lah sudah aL kisah kami,0.8402,0.667,0.0,0.333,positive
MAKANYA SAYA MALAS NONTON VISION APALAGI MAU LANGGANAN IKLANNYA ITU LO SEGEDE GABAN DAN LAMAAAA NEBENGNYA BENER BENER GAK BENER,0.9325,0.521,0.25,0.229,positive
Mau alasan apa lagikenyataannya timenas menurun performanya di semua levelkemarin alasan waktu yang terlalu sempittrus sedang apa saja 2 THN yang lalu jadwalnya sudah ada,-0.9584,0.284,0.537,0.179,negative
Maaf maaf saja mau di era siapa saja pemain tim nas saya tidak pernah suka permainnannya heheh kalau di bulu tngkis danvolly baru suka,-0.8402,0.355,0.468,0.177,negative
